iter	Logloss
0	0.6898447473
1	0.6866202883
2	0.6829677681
3	0.6799220035
4	0.6768762389
5	0.6732377189
6	0.6699399986
7	0.6664398505
8	0.6639145389
9	0.6616380666
10	0.6589538622
11	0.656430852
12	0.6537873058
13	0.651347242
14	0.6488128207
15	0.6464535937
16	0.643917734
17	0.64157898
18	0.6394464893
19	0.6374212536
20	0.6352051452
21	0.6330510789
22	0.631072159
23	0.6291486646
24	0.6265919963
25	0.6243060308
26	0.6225312646
27	0.6205836054
28	0.6188686278
29	0.6169529006
30	0.6151999498
31	0.6135689735
32	0.6118179405
33	0.6102696709
34	0.6090988794
35	0.6075414521
36	0.6061024512
37	0.6045131399
38	0.6030712143
39	0.6014299295
40	0.6000236757
41	0.5988065685
42	0.5976924492
43	0.5965274592
44	0.5951819528
45	0.5938344807
46	0.592711827
47	0.5917087025
48	0.5903714428
49	0.5892743443
50	0.5881717799
51	0.5871433399
52	0.5860714609
53	0.5851792832
54	0.5837070558
55	0.5826246767
56	0.5816265385
57	0.5804963573
58	0.5795338429
59	0.5787736124
60	0.5780343822
61	0.5770239219
62	0.5761596008
63	0.5754015758
64	0.5743356422
65	0.5733668469
66	0.5722469261
67	0.5714816133
68	0.5708069663
69	0.5697432381
70	0.5688286217
71	0.5679266151
72	0.5672226731
73	0.5667948996
74	0.5658892971
75	0.5653306312
76	0.5646483128
77	0.5638180333
78	0.5632175586
79	0.5626199127
80	0.5618092911
81	0.5611587608
82	0.5605675397
83	0.5599711404
84	0.5594188993
85	0.5587181217
86	0.5580675915
87	0.557668202
88	0.5571215705
89	0.5566420634
90	0.5561356586
91	0.5555926231
92	0.5550986363
93	0.5545715668
94	0.5540105036
95	0.5534794546
96	0.5530054133
97	0.5522774983
98	0.5517770388
99	0.5513232307
100	0.550870765
101	0.5503681
102	0.5499107439
103	0.5494660934
104	0.5489159619
105	0.5484925036
106	0.5479922838
107	0.5475929422
108	0.5472655675
109	0.546953056
110	0.5465851669
111	0.5462583196
112	0.5458934511
113	0.545435184
114	0.5451054599
115	0.5447859004
116	0.5443750038
117	0.5440543415
118	0.5436969047
119	0.5433318445
120	0.5429946887
121	0.5426458342
122	0.5422760273
123	0.5419768448
124	0.5416879227
125	0.5413277529
126	0.5409048699
127	0.5406168588
128	0.5402686755
129	0.5399134442
130	0.5396696392
131	0.5393421686
132	0.5390822058
133	0.5387757834
134	0.5385085808
135	0.5381666784
136	0.5379455039
137	0.537645794
138	0.537346947
139	0.5369940651
140	0.5366700945
141	0.536437365
142	0.5361593266
143	0.5358904938
144	0.5355723726
145	0.5352503199
146	0.5350540772
147	0.5347390246
148	0.534421239
149	0.5342701615
150	0.5340473088
151	0.5337419412
152	0.5334129363
153	0.5331574805
154	0.5328116945
155	0.5325810267
156	0.5323792703
157	0.5321331638
158	0.5318370498
159	0.5315104422
160	0.5312684592
161	0.5309771877
162	0.5307380335
163	0.5305198316
164	0.5303432468
165	0.5300844347
166	0.5298750549
167	0.529726854
168	0.5294139589
169	0.5292025174
170	0.5290065145
171	0.5288348681
172	0.5286911262
173	0.5284396978
174	0.5282572157
175	0.5279992666
176	0.5278488123
177	0.5277317284
178	0.5275400885
179	0.5274310116
180	0.5272303579
181	0.5269836282
182	0.5268190299
183	0.5266923567
184	0.5264756412
185	0.5262566722
186	0.5260977314
187	0.5259282905
188	0.5257510824
189	0.5255286134
190	0.5253635835
191	0.5252525408
192	0.5251830671
193	0.5250012082
194	0.5248162329
195	0.524638785
196	0.5245149407
197	0.5242953484
198	0.5241767302
199	0.5240449748
200	0.5238170399
201	0.5236740652
202	0.5235215013
203	0.5233685538
204	0.5232124898
205	0.5230106854
206	0.5228398062
207	0.5226814887
208	0.5225304591
209	0.52236121
210	0.522174125
211	0.5220312941
212	0.5219053402
213	0.521697159
214	0.5215921095
215	0.5214357578
216	0.5213230849
217	0.521162562
218	0.5210211695
219	0.520835427
220	0.5206234581
221	0.5205157715
222	0.5202865421
223	0.5200848336
224	0.5199566262
225	0.5198315832
226	0.5196981977
227	0.5195476955
228	0.5194379952
229	0.5193279593
230	0.5191631212
231	0.5189710978
232	0.5188540618
233	0.5186955526
234	0.5185362763
235	0.5183876439
236	0.5182183948
237	0.5181187632
238	0.5179689322
239	0.5177955118
240	0.5177160175
241	0.5175804264
242	0.5174478559
243	0.5173283268
244	0.5171725984
245	0.5170473637
246	0.5169022314
247	0.5167529278
248	0.5166633648
249	0.5164660673
250	0.5163417915
251	0.5162256665
252	0.5161194663
253	0.515982293
254	0.515878538
255	0.5157306728
256	0.5156069723
257	0.5154837993
258	0.5153227969
259	0.5152140076
260	0.5150752041
261	0.5149804151
262	0.5148606941
263	0.514741117
264	0.5146369305
265	0.5146052862
266	0.5145078601
267	0.5143664196
268	0.5142306368
269	0.5140833469
270	0.513988366
271	0.5138372405
272	0.5137271087
273	0.513570805
274	0.513480331
275	0.5133561032
276	0.5132221902
277	0.513101798
278	0.5129675494
279	0.5128838359
280	0.5127748548
281	0.5126672162
282	0.5124961451
283	0.5123997259
284	0.5122724295
285	0.512191305
286	0.5120915775
287	0.5120136174
288	0.5119168146
289	0.5117695727
290	0.5116028647
291	0.5114010124
292	0.5112620651
293	0.5111050422
294	0.5109712731
295	0.5109215052
296	0.5107287147
297	0.5106499395
298	0.5105618149
299	0.5104573887
300	0.5103289416
301	0.5102321388
302	0.5100682117
303	0.5099564498
304	0.5098632908
305	0.5097738717
306	0.5097039665
307	0.5096199653
308	0.509497847
309	0.5093505092
310	0.5092782068
311	0.5091646708
312	0.5091410335
313	0.5090376621
314	0.508943784
315	0.5088256932
316	0.5086739923
317	0.5085827992
318	0.5084673454
319	0.508462359
320	0.5084066458
321	0.508326672
322	0.5082331775
323	0.5081162853
324	0.5080051467
325	0.5078784736
326	0.5077471018
327	0.5076067161
328	0.5075236258
329	0.5074766868
330	0.5074168982
331	0.5073394656
332	0.5072021484
333	0.5070856878
334	0.5069103975
335	0.5068254853
336	0.5067638268
337	0.5067290181
338	0.506653743
339	0.5065840776
340	0.5065037202
341	0.5064100818
342	0.5063289573
343	0.5062333532
344	0.5062152776
345	0.5061415847
346	0.506045597
347	0.5059733904
348	0.5059027661
349	0.5057860177
350	0.5056540226
351	0.5055407264
352	0.5054425811
353	0.5053627512
354	0.5052480645
355	0.5051515014
356	0.5050450615
357	0.5049757317
358	0.5048207705
359	0.5046860904
360	0.5046183428
361	0.50456589
362	0.5044789161
363	0.5043694076
364	0.5042988791
365	0.5042205355
366	0.504132363
367	0.5040443822
368	0.5039554425
369	0.5038661672
370	0.5037873441
371	0.5037332611
372	0.5036309445
373	0.5035672723
374	0.5034819286
375	0.503416866
376	0.5033551596
377	0.5032444045
378	0.5031809721
379	0.5030909776
380	0.5030225108
381	0.5029500166
382	0.5028710017
383	0.5027515205
384	0.5026174157
385	0.5025188869
386	0.5024139812
387	0.5022954109
388	0.5022104987
389	0.5021042985
390	0.5020149752
391	0.5019061859
392	0.5018226642
393	0.5017321423
394	0.5016686139
395	0.501604702
396	0.5015869141
397	0.5015072759
398	0.5014505559
399	0.5013559586
400	0.5012938686
401	0.5012178264
402	0.5011797573
403	0.5010690981
404	0.5010123302
405	0.5009059382
406	0.5008376152
407	0.5007396617
408	0.5006465028
409	0.5005457684
410	0.5005003157
411	0.5004575959
412	0.5003738823
413	0.5003158677
414	0.5002341679
415	0.500155153
416	0.5001449405
417	0.5000646311
418	0.4999965479
419	0.4998689638
420	0.4998122917
421	0.4997782022
422	0.4997047011
423	0.4996375288
424	0.499513253
425	0.4995015063
426	0.4994458411
427	0.4993451067
428	0.499235742
429	0.4991726452
430	0.4991067675
431	0.498972423
432	0.4989075043
433	0.4988178933
434	0.4987045971
435	0.4986219384
436	0.4985318
437	0.4984424288
438	0.4984034968
439	0.4983459616
440	0.4982936527
441	0.4981999663
442	0.4980992319
443	0.4979763466
444	0.4979082154
445	0.4978045563
446	0.4977083289
447	0.4976039985
448	0.4975260864
449	0.4974266945
450	0.4973347822
451	0.4971918075
452	0.4970827784
453	0.496989188
454	0.4969340502
455	0.4968825563
456	0.4968395967
457	0.4967728081
458	0.4967074578
459	0.4966033672
460	0.4965212358
461	0.4964328715
462	0.4963256165
463	0.4962655882
464	0.4961752581
465	0.4961508056
466	0.4961024282
467	0.4960142077
468	0.4959686111
469	0.4959290078
470	0.4958690754
471	0.4957849783
472	0.4957191965
473	0.4956306883
474	0.4955300019
475	0.4954022739
476	0.4953293003
477	0.4952828886
478	0.4951889146
479	0.495122941
480	0.4950244121
481	0.4948505123
482	0.4947829565
483	0.4947029348
484	0.4946854824
485	0.4946127485
486	0.4945245759
487	0.4944493008
488	0.4943580118
489	0.4943001411
490	0.4941691049
491	0.4941055286
492	0.4940326028
493	0.4939611155
494	0.4938945186
495	0.4938429767
496	0.4938193873
497	0.4937541809
498	0.493700002
499	0.4936163843
500	0.4935425476
501	0.493477437
502	0.4933930522
503	0.4932765916
504	0.4932225565
505	0.4931963781
506	0.4931296853
507	0.4930248275
508	0.4929677719
509	0.4928794555
510	0.4928574483
511	0.4927555633
512	0.4926954391
513	0.4926213626
514	0.4924733056
515	0.4923632218
516	0.4923180567
517	0.4922547681
518	0.4921665956
519	0.49205095
520	0.4919450375
521	0.4918637691
522	0.4918045559
523	0.4917487948
524	0.491668006
525	0.4916343479
526	0.4915481891
527	0.4914832224
528	0.4914202214
529	0.4914173447
530	0.4913386654
531	0.4912622876
532	0.4912013483
533	0.4911407926
534	0.4910376609
535	0.4909446938
536	0.490874453
537	0.4908126507
538	0.4906680938
539	0.4905924351
540	0.4904922282
541	0.4904147955
542	0.4903171776
543	0.4901755933
544	0.4900496873
545	0.4899414254
546	0.4898587667
547	0.489817677
548	0.4897459979
549	0.4896641542
550	0.489605756
551	0.4895138437
552	0.4894605758
553	0.4894085545
554	0.4893273341
555	0.4892843745
556	0.4891428382
557	0.4890442614
558	0.488947027
559	0.4888940948
560	0.4888345459
561	0.4887320375
562	0.4886153372
563	0.4885515691
564	0.4884869859
565	0.4884810886
566	0.4884333345
567	0.4883832789
568	0.4883366755
569	0.4882829281
570	0.4882162353
571	0.4881921665
572	0.4880742195
573	0.4880266572
574	0.4879583822
575	0.4879030046
576	0.4878116197
577	0.4877424338
578	0.4876450076
579	0.4876338842
580	0.4876174387
581	0.487508122
582	0.4874406621
583	0.4873613596
584	0.4872914544
585	0.4872264398
586	0.4871420549
587	0.4870929104
588	0.4869956281
589	0.4869143118
590	0.4868756195
591	0.4867876866
592	0.4867476997
593	0.4867035416
594	0.4866240472
595	0.4865345322
596	0.4864577708
597	0.4863528651
598	0.4862506923
599	0.4862354455
600	0.486115341
601	0.4860448605
602	0.4859573113
603	0.4858964199
604	0.4858116515
605	0.4857633221
606	0.4857043006
607	0.4856425463
608	0.4855973333
609	0.4855438256
610	0.4854665368
611	0.485422043
612	0.4853665216
613	0.4853027536
614	0.485233184
615	0.4852042247
616	0.4851725324
617	0.4851017163
618	0.4850449004
619	0.4849669403
620	0.4848842816
621	0.4848301986
622	0.4847647044
623	0.4847041967
624	0.4846208187
625	0.4845491875
626	0.4844835496
627	0.4843945619
628	0.4843429242
629	0.4842566695
630	0.4842168264
631	0.4841257771
632	0.4840562555
633	0.4840105151
634	0.4839268015
635	0.4838738692
636	0.4838340741
637	0.4837659909
638	0.4836816061
639	0.483635578
640	0.4835627002
641	0.4834611508
642	0.4834448971
643	0.4833630534
644	0.4833220596
645	0.4832824084
646	0.4831750095
647	0.4831371322
648	0.48310544
649	0.4830113221
650	0.4829310607
651	0.4828763064
652	0.4827885654
653	0.4826980435
654	0.4826157683
655	0.4825687334
656	0.4824621496
657	0.4823914773
658	0.482269407
659	0.4821920223
660	0.4821502614
661	0.4821038018
662	0.4820369652
663	0.4819778958
664	0.4819134565
665	0.4818233661
666	0.4817700982
667	0.4817204262
668	0.4816393017
669	0.4815488757
670	0.481473217
671	0.4814257026
672	0.4813753115
673	0.4813250641
674	0.4812291723
675	0.4811678974
676	0.4811110335
677	0.4809995113
678	0.4809504147
679	0.4808174127
680	0.4807505761
681	0.480662883
682	0.4806244783
683	0.4805799845
684	0.4805078739
685	0.4804641472
686	0.4803627895
687	0.480269295
688	0.4802186161
689	0.4801221969
690	0.4800921827
691	0.4800122089
692	0.4799396668
693	0.4798971387
694	0.4798072881
695	0.4797444789
696	0.4797023824
697	0.4796120523
698	0.4795234003
699	0.4794745434
700	0.4794049739
701	0.4793693501
702	0.4792759035
703	0.4791951146
704	0.4791553195
705	0.4791207984
706	0.4790637428
707	0.4789939335
708	0.4788820277
709	0.4787878619
710	0.4787112444
711	0.4786075853
712	0.4785380157
713	0.4784827341
714	0.478423377
715	0.4783528965
716	0.4783092178
717	0.4782139013
718	0.4781161396
719	0.4780491112
720	0.4779873569
721	0.4779532194
722	0.4778868622
723	0.4778140324
724	0.477722983
725	0.4776122759
726	0.4775703232
727	0.4774773082
728	0.477413588
729	0.4773491008
730	0.4772882094
731	0.4772355169
