iter	Passed	Remaining
0	0	1583
1	1	1486
2	2	1443
3	3	1558
4	4	1873
5	5	1951
6	7	2070
7	8	2096
8	9	2064
9	10	2017
10	11	2003
11	11	1963
12	12	1936
13	13	1926
14	14	1932
15	15	1904
16	16	1889
17	16	1861
18	17	1858
19	18	1833
20	19	1804
21	19	1779
22	20	1764
23	21	1741
24	21	1728
25	22	1711
26	23	1705
27	24	1698
28	24	1684
29	25	1672
30	26	1662
31	26	1653
32	27	1649
33	28	1650
34	29	1634
35	29	1629
36	30	1626
37	31	1619
38	32	1615
39	32	1611
40	33	1605
41	34	1601
42	34	1591
43	35	1591
44	36	1585
45	37	1581
46	38	1579
47	38	1576
48	39	1571
49	40	1567
50	40	1563
51	41	1560
52	42	1560
53	43	1558
54	43	1555
55	44	1552
56	45	1550
57	46	1547
58	46	1543
59	47	1543
60	48	1540
61	49	1536
62	49	1534
63	50	1532
64	51	1529
65	52	1530
66	52	1528
67	53	1525
68	54	1524
69	55	1522
70	55	1521
71	56	1517
72	57	1516
73	58	1510
74	58	1508
75	59	1509
76	60	1506
77	61	1506
78	61	1504
79	62	1501
80	63	1498
81	63	1495
82	64	1494
83	65	1493
84	66	1492
85	66	1491
86	67	1490
87	68	1489
88	69	1489
89	70	1488
90	70	1489
91	71	1489
92	72	1489
93	73	1489
94	74	1488
95	75	1488
96	75	1486
97	76	1485
98	77	1484
99	78	1483
100	78	1481
101	79	1480
102	80	1478
103	81	1478
104	81	1477
105	82	1476
106	83	1476
107	84	1476
108	85	1475
109	85	1475
110	86	1473
111	87	1471
112	88	1470
113	88	1468
114	89	1467
115	90	1466
116	91	1465
117	91	1465
118	92	1465
119	93	1465
120	94	1466
121	95	1466
122	96	1465
123	96	1464
124	97	1464
125	98	1463
126	99	1461
127	99	1460
128	100	1459
129	101	1459
130	102	1457
131	102	1456
132	103	1456
133	104	1456
134	105	1455
135	106	1453
136	106	1452
137	107	1450
138	108	1450
139	109	1448
140	109	1447
141	110	1447
142	111	1445
143	112	1444
144	113	1446
145	113	1445
146	114	1445
147	115	1444
148	116	1444
149	117	1443
150	117	1443
151	118	1443
152	119	1443
153	120	1442
154	121	1442
155	121	1441
156	122	1442
157	123	1442
158	124	1441
159	125	1441
160	126	1440
161	126	1439
162	127	1438
163	128	1437
164	129	1436
165	129	1436
166	130	1434
167	131	1434
168	132	1433
169	133	1431
170	133	1431
171	134	1432
172	135	1432
173	136	1431
174	137	1430
175	137	1428
176	138	1427
177	139	1426
178	140	1425
179	140	1424
180	141	1424
181	142	1422
182	143	1422
183	144	1424
184	145	1424
185	145	1423
186	146	1421
187	147	1420
188	148	1419
189	148	1418
190	149	1417
191	150	1416
192	151	1414
193	151	1413
194	152	1412
195	153	1411
196	154	1410
197	154	1409
198	155	1408
199	156	1409
200	157	1409
201	158	1408
202	158	1406
203	159	1405
204	160	1404
205	161	1403
206	161	1403
207	162	1402
208	163	1401
209	164	1400
210	165	1399
211	166	1401
212	167	1401
213	167	1400
214	168	1399
215	169	1399
216	170	1399
217	171	1399
218	172	1398
219	172	1398
220	173	1397
221	174	1396
222	175	1394
223	175	1394
224	176	1392
225	177	1391
226	178	1391
227	178	1390
228	179	1389
229	180	1388
230	181	1387
231	182	1387
232	182	1387
233	183	1386
234	184	1386
235	185	1385
236	186	1384
237	186	1382
238	187	1381
239	188	1380
240	188	1379
241	189	1378
242	190	1377
243	191	1376
244	192	1376
245	192	1374
246	193	1374
247	194	1373
248	195	1373
249	196	1372
250	197	1372
251	197	1372
252	198	1371
253	199	1370
254	200	1369
255	200	1368
256	201	1367
257	202	1366
258	203	1365
259	203	1364
260	204	1364
261	205	1363
262	206	1362
263	207	1361
264	208	1363
265	208	1361
266	209	1361
267	210	1360
268	211	1359
269	212	1358
270	212	1357
271	213	1357
272	214	1358
273	215	1357
274	216	1356
275	216	1355
276	217	1354
277	218	1353
278	219	1353
279	220	1352
280	221	1354
281	222	1353
282	222	1352
283	223	1351
284	224	1350
285	225	1351
286	226	1350
287	227	1350
288	227	1349
289	228	1348
290	229	1347
291	230	1347
292	231	1346
293	231	1345
294	232	1344
295	233	1343
296	234	1343
297	235	1342
298	235	1341
299	236	1341
300	237	1340
301	238	1339
302	239	1339
303	239	1337
304	240	1336
305	241	1336
306	242	1335
307	242	1334
308	243	1333
309	244	1333
310	245	1333
311	246	1332
312	246	1331
313	247	1330
314	248	1329
315	249	1329
316	250	1328
317	250	1327
318	251	1326
319	252	1324
320	252	1323
321	253	1322
322	254	1321
323	255	1320
324	255	1319
325	256	1318
326	257	1318
327	258	1317
328	259	1317
329	260	1317
330	261	1316
331	261	1315
332	262	1314
333	263	1313
334	264	1312
335	264	1311
336	265	1310
337	266	1310
338	267	1309
339	267	1308
340	268	1307
341	269	1306
342	270	1305
343	271	1306
344	271	1304
345	272	1303
346	273	1304
347	274	1304
348	275	1303
349	276	1302
350	277	1301
351	277	1301
352	278	1300
353	279	1299
354	280	1298
355	281	1297
356	281	1296
357	282	1296
358	283	1295
359	284	1294
360	284	1293
361	285	1292
362	286	1292
363	287	1291
364	288	1290
365	288	1289
366	289	1288
367	290	1288
368	291	1287
369	292	1286
370	292	1285
371	293	1284
372	294	1283
373	295	1282
374	295	1281
375	296	1280
376	297	1280
377	298	1279
378	298	1278
379	299	1277
380	300	1276
381	301	1276
382	302	1275
383	302	1274
384	303	1273
385	304	1272
386	305	1271
387	305	1270
388	306	1269
389	307	1268
390	308	1267
391	308	1266
392	309	1265
393	310	1264
394	311	1264
395	312	1263
396	312	1262
397	313	1262
398	314	1261
399	315	1260
400	315	1259
401	316	1258
402	317	1257
403	318	1256
404	318	1256
405	319	1255
406	320	1254
407	321	1253
408	322	1252
409	322	1251
410	323	1250
411	324	1250
412	325	1250
413	326	1250
414	327	1249
415	327	1248
416	328	1247
417	329	1246
418	330	1245
419	330	1244
420	331	1243
421	332	1242
422	333	1241
423	333	1241
424	334	1240
425	335	1238
426	336	1238
427	336	1237
428	337	1236
429	338	1236
430	339	1235
431	340	1234
432	340	1233
433	341	1233
434	342	1232
435	343	1231
436	344	1230
437	344	1229
438	345	1229
439	346	1228
440	347	1227
